source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
bls,employment,occupation,ICT,core,SOC:15-0000,US,,2025-Q2,5260110.0,persons,2026-07-10T23:10:59.029684+00:00,,,,,
bls,employment,occupation,ENG,core,SOC:17-0000,US,,2025-Q2,2617130.0,persons,2026-07-10T23:10:59.029684+00:00,,,,,
bls,employment,occupation,SCI,core,SOC:19-0000,US,,2025-Q2,1473260.0,persons,2026-07-10T23:10:59.029684+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,AT,,2023,145.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,AT,,2024,149.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,AT,,2025,140.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BA,,2023,27.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BA,,2024,28.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BA,,2025,31.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BE,,2023,168.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BE,,2024,177.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BE,,2025,195.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BG,,2023,65.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BG,,2024,71.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,BG,,2025,77.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CH,,2023,201.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CH,,2024,210.8,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CH,,2025,200.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CY,,2023,17.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CY,,2024,17.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CY,,2025,19.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CZ,,2023,164.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CZ,,2024,170.3,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,CZ,,2025,167.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DE,,2023,1717.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DE,,2024,1725.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DE,,2025,1853.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DK,,2023,97.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DK,,2024,109.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,DK,,2025,114.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EE,,2023,22.7,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EE,,2024,25.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EE,,2025,19.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EL,,2023,137.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EL,,2024,152.2,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,EL,,2025,162.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,ES,,2023,692.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,ES,,2024,723.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,ES,,2025,742.5,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FI,,2023,160.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FI,,2024,147.4,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FI,,2025,159.1,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2023,1201.0,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2024,1257.6,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
eurostat,employment,occupation,SCI,core,ISCO:21,FR,,2025,1363.9,thousands,2026-07-10T22:48:49.814456+00:00,,,,,
