source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,GB,,2026-07,45867,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,GB,,2026-07,61361,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,GB,,2026-07,4600,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,CA,,2026-07,26933,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,CA,,2026-07,32321,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,CA,,2026-07,2495,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,,2026-07,104505,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,,2026-07,17806,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,IN,,2026-07,3184,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,BR,,2026-07,12535,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,BR,,2026-07,4404,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,BR,,2026-07,773,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,AU,,2026-07,16043,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,AU,,2026-07,17140,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,SCI,core,ADZUNA:scientific-qa-jobs,AU,,2026-07,2092,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,NZ,,2026-07,888,count,2026-07-10T22:47:01.078178+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,NZ,,2026-07,804,count,2026-07-10T22:47:01.078178+00:00,,,,,
